ReportingArea,State,IssueDate,ForecastDate,ForecastPeriod,Parameter,AQI,AQI Category,LevelOfHealthConcern,ActionDayName,ActionDay,TimeZone,Latitude,Longitude,Acquired
Central LA CO,CA,1/15/2010 0:00,1/16/2010 0:00,Next Day,PM2.5,56,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/16/2010 0:00,1/17/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/16/2010 0:00,1/17/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/16/2010 0:00,1/17/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/16/2010 0:00,1/17/2010 0:00,Next Day,PM10,39,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/16/2010 0:00,1/17/2010 0:00,Next Day,PM2.5,60,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/17/2010 0:00,1/18/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/17/2010 0:00,1/18/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/17/2010 0:00,1/18/2010 0:00,Next Day,OZONE,19,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/17/2010 0:00,1/18/2010 0:00,Next Day,PM10,35,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/17/2010 0:00,1/18/2010 0:00,Next Day,PM2.5,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/18/2010 0:00,1/19/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/18/2010 0:00,1/19/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/18/2010 0:00,1/19/2010 0:00,Next Day,OZONE,19,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/18/2010 0:00,1/19/2010 0:00,Next Day,PM10,35,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/18/2010 0:00,1/19/2010 0:00,Next Day,PM2.5,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/19/2010 0:00,1/20/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/19/2010 0:00,1/20/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/19/2010 0:00,1/20/2010 0:00,Next Day,OZONE,14,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/19/2010 0:00,1/20/2010 0:00,Next Day,PM10,14,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/19/2010 0:00,1/20/2010 0:00,Next Day,PM2.5,29,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/20/2010 0:00,1/21/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/20/2010 0:00,1/21/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/20/2010 0:00,1/21/2010 0:00,Next Day,OZONE,7,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/20/2010 0:00,1/21/2010 0:00,Next Day,PM10,14,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/20/2010 0:00,1/21/2010 0:00,Next Day,PM2.5,23,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/21/2010 0:00,1/22/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/21/2010 0:00,1/22/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/21/2010 0:00,1/22/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/21/2010 0:00,1/22/2010 0:00,Next Day,PM10,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/21/2010 0:00,1/22/2010 0:00,Next Day,PM2.5,42,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/22/2010 0:00,1/23/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/22/2010 0:00,1/23/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/22/2010 0:00,1/23/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/22/2010 0:00,1/23/2010 0:00,Next Day,PM10,26,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/22/2010 0:00,1/23/2010 0:00,Next Day,PM2.5,45,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/24/2010 0:00,1/24/2010 0:00,Same Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/24/2010 0:00,1/24/2010 0:00,Same Day,PM2.5,45,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/23/2010 0:00,1/24/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/23/2010 0:00,1/24/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/23/2010 0:00,1/24/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/23/2010 0:00,1/24/2010 0:00,Next Day,PM10,27,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
